"FIPS","RC","COUNTY_NAME"
1,11,"Albany"
3,61,"Allegany"
5,1,"Bronx"
7,91,"Broome"
9,51,"Cattaraugus"
11,31,"Cayuga"
13,52,"Chautauqua"
15,62,"Chemung"
17,92,"Chenango"
19,71,"Clinton"
21,81,"Columbia"
23,32,"Cortland"
25,93,"Delaware"
27,82,"Dutchess"
29,53,"Erie"
31,12,"Essex"
33,72,"Franklin"
35,21,"Fulton"
37,41,"Genesee"
39,13,"Greene"
41,22,"Hamilton"
43,23,"Herkimer"
45,73,"Jefferson"
47,2,"Kings"
49,74,"Lewis"
51,42,"Livingston"
53,24,"Madison"
55,43,"Monroe"
57,25,"Montgomery"
59,3,"Nassau"
61,4,"New York"
63,54,"Niagara"
65,26,"Oneida"
67,33,"Onondaga"
69,44,"Ontario"
71,83,"Orange"
73,45,"Orleans"
75,34,"Oswego"
77,94,"Otsego"
79,84,"Putnam"
81,5,"Queens"
83,14,"Rensselaer"
85,6,"Richmond"
87,85,"Rockland"
89,75,"Saint Lawrence"
91,15,"Saratoga"
93,16,"Schenectady"
95,95,"Schoharie"
97,63,"Schuyler"
99,35,"Seneca"
101,64,"Steuben"
103,7,"Suffolk"
105,96,"Sullivan"
107,97,"Tioga"
109,36,"Tompkins"
111,86,"Ulster"
113,17,"Warren"
115,18,"Washington"
117,47,"Wayne"
119,87,"Westchester"
121,46,"Wyoming"
123,66,"Yates"
